tac_doc_id,tac_sentence_id,sentence,indexed_tokens,subj_start,subj_end,obj_start,obj_end,assessment,alt_subj_start,alt_subj_end,alt_obj_start,alt_obj_end
NYT_ENG_20070109.0332.LDC2009T13,61b3a0af8f508941006f,"Bolin was the first black woman to graduate from Yale Law School, the first to join the New York City Bar Association, and the first to work in the office of the New York City corporation counsel, the city's legal department.","[(0, 'Bolin'), (1, 'was'), (2, 'the'), (3, 'first'), (4, 'black'), (5, 'woman'), (6, 'to'), (7, 'graduate'), (8, 'from'), (9, 'Yale'), (10, 'Law'), (11, 'School'), (12, ','), (13, 'the'), (14, 'first'), (15, 'to'), (16, 'join'), (17, 'the'), (18, 'New'), (19, 'York'), (20, 'City'), (21, 'Bar'), (22, 'Association'), (23, ','), (24, 'and'), (25, 'the'), (26, 'first'), (27, 'to'), (28, 'work'), (29, 'in'), (30, 'the'), (31, 'office'), (32, 'of'), (33, 'the'), (34, 'New'), (35, 'York'), (36, 'City'), (37, 'corporation'), (38, 'counsel'), (39, ','), (40, 'the'), (41, 'city'), (42, ""'s""), (43, 'legal'), (44, 'department'), (45, '.')]",0,0,34,36,,,,,
LTW_ENG_20070119.0018.LDC2009T13,61b3a0af8f9cb44a209c,"He and his wife, Ann McGarry Buchwald, whom he had met in Paris, moved to Washington in 1963 with their three children, who were adopted from orphanages and child welfare agencies in Ireland, Spain and France.","[(0, 'He'), (1, 'and'), (2, 'his'), (3, 'wife'), (4, ','), (5, 'Ann'), (6, 'McGarry'), (7, 'Buchwald'), (8, ','), (9, 'whom'), (10, 'he'), (11, 'had'), (12, 'met'), (13, 'in'), (14, 'Paris'), (15, ','), (16, 'moved'), (17, 'to'), (18, 'Washington'), (19, 'in'), (20, '1963'), (21, 'with'), (22, 'their'), (23, 'three'), (24, 'children'), (25, ','), (26, 'who'), (27, 'were'), (28, 'adopted'), (29, 'from'), (30, 'orphanages'), (31, 'and'), (32, 'child'), (33, 'welfare'), (34, 'agencies'), (35, 'in'), (36, 'Ireland'), (37, ','), (38, 'Spain'), (39, 'and'), (40, 'France'), (41, '.')]",10,10,14,14,,,,,
LTW_ENG_20090908.0018,61b3a0af8f2b3e009d37,"In Vienna, Austria, on Monday, International Atomic Energy Agency chief Mohamed ElBaradei lamented a ""stalemate"" in efforts to begin talks over Iran's nuclear program.","[(0, 'In'), (1, 'Vienna'), (2, ','), (3, 'Austria'), (4, ','), (5, 'on'), (6, 'Monday'), (7, ','), (8, 'International'), (9, 'Atomic'), (10, 'Energy'), (11, 'Agency'), (12, 'chief'), (13, 'Mohamed'), (14, 'ElBaradei'), (15, 'lamented'), (16, 'a'), (17, '``'), (18, 'stalemate'), (19, ""''""), (20, 'in'), (21, 'efforts'), (22, 'to'), (23, 'begin'), (24, 'talks'), (25, 'over'), (26, 'Iran'), (27, ""'s""), (28, 'nuclear'), (29, 'program'), (30, '.')]",13,14,1,1,,,,,
NYT_ENG_20101118.0060,61b3a0af8f91df7272e1,"NY-SCHOOLS-CHIEF (New York) - Cathleen P. Black, Mayor Michael R. Bloomberg's choice to be the next chancellor of New York City's public-school system, has during more than 40 years in the media business broken numerous glass ceilings - and amassed a fortune - with quick and cold-blooded decision making, crystal-clear goal setting, and an all-surpassing attention to the bottom line.","[(0, 'NY-SCHOOLS-CHIEF'), (1, '-LRB-'), (2, 'New'), (3, 'York'), (4, '-RRB-'), (5, '--'), (6, 'Cathleen'), (7, 'P.'), (8, 'Black'), (9, ','), (10, 'Mayor'), (11, 'Michael'), (12, 'R.'), (13, 'Bloomberg'), (14, ""'s""), (15, 'choice'), (16, 'to'), (17, 'be'), (18, 'the'), (19, 'next'), (20, 'chancellor'), (21, 'of'), (22, 'New'), (23, 'York'), (24, 'City'), (25, ""'s""), (26, 'public-school'), (27, 'system'), (28, ','), (29, 'has'), (30, 'during'), (31, 'more'), (32, 'than'), (33, '40'), (34, 'years'), (35, 'in'), (36, 'the'), (37, 'media'), (38, 'business'), (39, 'broken'), (40, 'numerous'), (41, 'glass'), (42, 'ceilings'), (43, '--'), (44, 'and'), (45, 'amassed'), (46, 'a'), (47, 'fortune'), (48, '--'), (49, 'with'), (50, 'quick'), (51, 'and'), (52, 'cold-blooded'), (53, 'decision'), (54, 'making'), (55, ','), (56, 'crystal-clear'), (57, 'goal'), (58, 'setting'), (59, ','), (60, 'and'), (61, 'an'), (62, 'all-surpassing'), (63, 'attention'), (64, 'to'), (65, 'the'), (66, 'bottom'), (67, 'line'), (68, '.')]",6,8,22,24,,,,,
LTW_ENG_20070906.0089.LDC2009T13,61b3a0af8f30ffd5da71,"Rep Paul Gillmor, R-Ohio, a quiet, back-bench conservative in his 20th year in the House, was found dead Wednesday morning in his Arlington, Va townhouse, police and House Republican leaders said.","[(0, 'Rep'), (1, 'Paul'), (2, 'Gillmor'), (3, ','), (4, 'R-Ohio'), (5, ','), (6, 'a'), (7, 'quiet'), (8, ','), (9, 'back-bench'), (10, 'conservative'), (11, 'in'), (12, 'his'), (13, '20th'), (14, 'year'), (15, 'in'), (16, 'the'), (17, 'House'), (18, ','), (19, 'was'), (20, 'found'), (21, 'dead'), (22, 'Wednesday'), (23, 'morning'), (24, 'in'), (25, 'his'), (26, 'Arlington'), (27, ','), (28, 'Va'), (29, 'townhouse'), (30, ','), (31, 'police'), (32, 'and'), (33, 'House'), (34, 'Republican'), (35, 'leaders'), (36, 'said'), (37, '.')]",1,2,26,26,,,,,
NYT_ENG_20070420.0018.LDC2009T13,61b3a0af8f11ccbcc3d6,"Derounian is survived by his wife of 60 years, Emily Ann Kennard Derounian; two daughters, Ann Banks of Lexington, Ky., and Eleanor Derounian of Austin; and a granddaughter.","[(0, 'Derounian'), (1, 'is'), (2, 'survived'), (3, 'by'), (4, 'his'), (5, 'wife'), (6, 'of'), (7, '60'), (8, 'years'), (9, ','), (10, 'Emily'), (11, 'Ann'), (12, 'Kennard'), (13, 'Derounian'), (14, ';'), (15, 'two'), (16, 'daughters'), (17, ','), (18, 'Ann'), (19, 'Banks'), (20, 'of'), (21, 'Lexington'), (22, ','), (23, 'Ky.'), (24, ','), (25, 'and'), (26, 'Eleanor'), (27, 'Derounian'), (28, 'of'), (29, 'Austin'), (30, ';'), (31, 'and'), (32, 'a'), (33, 'granddaughter'), (34, '.')]",26,27,29,29,,,,,
NYT_ENG_20101223.0148,61b3a0af8f215e9532b7,Opponents of Cathleen P. Black's appointment as New York City schools chancellor tried to convince a judge Thursday that the state education commissioner misinterpreted the law when he approved her selection.,"[(0, 'Opponents'), (1, 'of'), (2, 'Cathleen'), (3, 'P.'), (4, 'Black'), (5, ""'s""), (6, 'appointment'), (7, 'as'), (8, 'New'), (9, 'York'), (10, 'City'), (11, 'schools'), (12, 'chancellor'), (13, 'tried'), (14, 'to'), (15, 'convince'), (16, 'a'), (17, 'judge'), (18, 'Thursday'), (19, 'that'), (20, 'the'), (21, 'state'), (22, 'education'), (23, 'commissioner'), (24, 'misinterpreted'), (25, 'the'), (26, 'law'), (27, 'when'), (28, 'he'), (29, 'approved'), (30, 'her'), (31, 'selection'), (32, '.')]",2,4,8,10,,,,,
NYT_ENG_20070305.0262.LDC2009T13,61b3a0af8f9abffce393,"William R Anderson, who commanded the nuclear-powered submarine Nautilus on its historic cruise beneath the North Pole in August 1958 and who later served three terms in Congress, died on Feb 25 near his home in Leesburg, Va.","[(0, 'William'), (1, 'R'), (2, 'Anderson'), (3, ','), (4, 'who'), (5, 'commanded'), (6, 'the'), (7, 'nuclear-powered'), (8, 'submarine'), (9, 'Nautilus'), (10, 'on'), (11, 'its'), (12, 'historic'), (13, 'cruise'), (14, 'beneath'), (15, 'the'), (16, 'North'), (17, 'Pole'), (18, 'in'), (19, 'August'), (20, '1958'), (21, 'and'), (22, 'who'), (23, 'later'), (24, 'served'), (25, 'three'), (26, 'terms'), (27, 'in'), (28, 'Congress'), (29, ','), (30, 'died'), (31, 'on'), (32, 'Feb'), (33, '25'), (34, 'near'), (35, 'his'), (36, 'home'), (37, 'in'), (38, 'Leesburg'), (39, ','), (40, 'Va'), (41, '.')]",0,2,38,38,,,,,
NYT_ENG_20071124.0016.LDC2009T13,61b3a0af8f900577a430,"In 1967, McNair had played host to Humphrey on a visit to the state that included an address to the Legislature and a luncheon meeting that McNair set up in Greenville.","[(0, 'In'), (1, '1967'), (2, ','), (3, 'McNair'), (4, 'had'), (5, 'played'), (6, 'host'), (7, 'to'), (8, 'Humphrey'), (9, 'on'), (10, 'a'), (11, 'visit'), (12, 'to'), (13, 'the'), (14, 'state'), (15, 'that'), (16, 'included'), (17, 'an'), (18, 'address'), (19, 'to'), (20, 'the'), (21, 'Legislature'), (22, 'and'), (23, 'a'), (24, 'luncheon'), (25, 'meeting'), (26, 'that'), (27, 'McNair'), (28, 'set'), (29, 'up'), (30, 'in'), (31, 'Greenville'), (32, '.')]",27,27,31,31,,,,,
eng-NG-31-142091-9998631,61b3abd9fa57e0632fda,"In 2000, Gloucester County, where Irene Morgan got on that bus six decades earlier, and where she lived in her final years, honored her on its 350th anniversary.","[(0, 'In'), (1, '2000'), (2, ','), (3, 'Gloucester'), (4, 'County'), (5, ','), (6, 'where'), (7, 'Irene'), (8, 'Morgan'), (9, 'got'), (10, 'on'), (11, 'that'), (12, 'bus'), (13, 'six'), (14, 'decades'), (15, 'earlier'), (16, ','), (17, 'and'), (18, 'where'), (19, 'she'), (20, 'lived'), (21, 'in'), (22, 'her'), (23, 'final'), (24, 'years'), (25, ','), (26, 'honored'), (27, 'her'), (28, 'on'), (29, 'its'), (30, '350th'), (31, 'anniversary'), (32, '.')]",7,8,3,4,,,,,
APW_ENG_20070516.0586.LDC2009T13,61b3a0af8f8d8b569158,"At her father's former Atlanta church, Ebenezer Baptist, she performed a series of one-actor skits that told stories including a girl's first ride on a desegregated bus and a college student's recollection of the 1963 desegregation of Birmingham, Alabama.","[(0, 'At'), (1, 'her'), (2, 'father'), (3, ""'s""), (4, 'former'), (5, 'Atlanta'), (6, 'church'), (7, ','), (8, 'Ebenezer'), (9, 'Baptist'), (10, ','), (11, 'she'), (12, 'performed'), (13, 'a'), (14, 'series'), (15, 'of'), (16, 'one-actor'), (17, 'skits'), (18, 'that'), (19, 'told'), (20, 'stories'), (21, 'including'), (22, 'a'), (23, 'girl'), (24, ""'s""), (25, 'first'), (26, 'ride'), (27, 'on'), (28, 'a'), (29, 'desegregated'), (30, 'bus'), (31, 'and'), (32, 'a'), (33, 'college'), (34, 'student'), (35, ""'s""), (36, 'recollection'), (37, 'of'), (38, 'the'), (39, '1963'), (40, 'desegregation'), (41, 'of'), (42, 'Birmingham'), (43, ','), (44, 'Alabama'), (45, '.')]",11,11,5,5,,,,,
APW_ENG_20070919.1312.LDC2009T13,61b3a0af8f7113a0937f,"Knoxville-based Regal Entertainment Group has hosted several screenings to benefit Variety, including a showing of ""Talladega Nights"" with Will Ferrell and ""The Dukes of Hazzard"" with Jessica Simpson, Seann William Scott and Knoxville native Johnny Knoxville.","[(0, 'Knoxville-based'), (1, 'Regal'), (2, 'Entertainment'), (3, 'Group'), (4, 'has'), (5, 'hosted'), (6, 'several'), (7, 'screenings'), (8, 'to'), (9, 'benefit'), (10, 'Variety'), (11, ','), (12, 'including'), (13, 'a'), (14, 'showing'), (15, 'of'), (16, '``'), (17, 'Talladega'), (18, 'Nights'), (19, ""''""), (20, 'with'), (21, 'Will'), (22, 'Ferrell'), (23, 'and'), (24, '``'), (25, 'The'), (26, 'Dukes'), (27, 'of'), (28, 'Hazzard'), (29, ""''""), (30, 'with'), (31, 'Jessica'), (32, 'Simpson'), (33, ','), (34, 'Seann'), (35, 'William'), (36, 'Scott'), (37, 'and'), (38, 'Knoxville'), (39, 'native'), (40, 'Johnny'), (41, 'Knoxville'), (42, '.')]",40,41,38,38,,,,,
eng-NG-31-142091-8682787,61b3a0af8f83b5a86098,"At her death, she was assistant clinical professor emeritus of psychiatry at Albert Einstein College of Medicine of Yeshiva University in the Bronx.","[(0, 'At'), (1, 'her'), (2, 'death'), (3, ','), (4, 'she'), (5, 'was'), (6, 'assistant'), (7, 'clinical'), (8, 'professor'), (9, 'emeritus'), (10, 'of'), (11, 'psychiatry'), (12, 'at'), (13, 'Albert'), (14, 'Einstein'), (15, 'College'), (16, 'of'), (17, 'Medicine'), (18, 'of'), (19, 'Yeshiva'), (20, 'University'), (21, 'in'), (22, 'the'), (23, 'Bronx'), (24, '.')]",4,4,23,23,,,,,
LTW_ENG_20080402.0021.LDC2009T13,61b3a0af8f077f046123,"As part of a Navy family, she also lived in Long Beach, Calif., San Diego and Annapolis.","[(0, 'As'), (1, 'part'), (2, 'of'), (3, 'a'), (4, 'Navy'), (5, 'family'), (6, ','), (7, 'she'), (8, 'also'), (9, 'lived'), (10, 'in'), (11, 'Long'), (12, 'Beach'), (13, ','), (14, 'Calif.'), (15, ','), (16, 'San'), (17, 'Diego'), (18, 'and'), (19, 'Annapolis'), (20, '.')]",7,7,19,19,,,,,
APW_ENG_19981209.0373.LDC2007T07,61b3a0af8f82349ae090,"But despite the current financial constraints, Chen said Cathay Pacific was determined to make Hong Kong Asia's ""aviation hub ,"" adding that the airline hasn't ruled out the possibility of expanding into Asia with an investment into the ailing Philippine Airlines.","[(0, 'But'), (1, 'despite'), (2, 'the'), (3, 'current'), (4, 'financial'), (5, 'constraints'), (6, ','), (7, 'Chen'), (8, 'said'), (9, 'Cathay'), (10, 'Pacific'), (11, 'was'), (12, 'determined'), (13, 'to'), (14, 'make'), (15, 'Hong'), (16, 'Kong'), (17, 'Asia'), (18, ""'s""), (19, '``'), (20, 'aviation'), (21, 'hub'), (22, ','), (23, ""''""), (24, 'adding'), (25, 'that'), (26, 'the'), (27, 'airline'), (28, 'has'), (29, ""n't""), (30, 'ruled'), (31, 'out'), (32, 'the'), (33, 'possibility'), (34, 'of'), (35, 'expanding'), (36, 'into'), (37, 'Asia'), (38, 'with'), (39, 'an'), (40, 'investment'), (41, 'into'), (42, 'the'), (43, 'ailing'), (44, 'Philippine'), (45, 'Airlines'), (46, '.')]",7,7,15,17,,,,,
NYT_ENG_20071124.0016.LDC2009T13,61b3abd9fa6fec37d411,"He is survived by his wife of 63 years, Josephine Robinson McNair, of Columbia; a son, Robert E. Jr., of Columbia; three daughters, Robin Lee Howell and Corinne Godshall, of Myrtle Beach, S.C., and Claudia Crawford McNair, of Jamestown, S.C.; six grandchildren; and one great-grandchild.","[(0, 'He'), (1, 'is'), (2, 'survived'), (3, 'by'), (4, 'his'), (5, 'wife'), (6, 'of'), (7, '63'), (8, 'years'), (9, ','), (10, 'Josephine'), (11, 'Robinson'), (12, 'McNair'), (13, ','), (14, 'of'), (15, 'Columbia'), (16, ';'), (17, 'a'), (18, 'son'), (19, ','), (20, 'Robert'), (21, 'E.'), (22, 'Jr.'), (23, ','), (24, 'of'), (25, 'Columbia'), (26, ';'), (27, 'three'), (28, 'daughters'), (29, ','), (30, 'Robin'), (31, 'Lee'), (32, 'Howell'), (33, 'and'), (34, 'Corinne'), (35, 'Godshall'), (36, ','), (37, 'of'), (38, 'Myrtle'), (39, 'Beach'), (40, ','), (41, 'S.C.'), (42, ','), (43, 'and'), (44, 'Claudia'), (45, 'Crawford'), (46, 'McNair'), (47, ','), (48, 'of'), (49, 'Jamestown'), (50, ','), (51, 'S.C.'), (52, ';'), (53, 'six'), (54, 'grandchildren'), (55, ';'), (56, 'and'), (57, 'one'), (58, 'great-grandchild'), (59, '.')]",20,22,25,25,,,,,
eng-WL-11-174611-12969239,61b3a65fb90d9bb9d033,"Wildmon, a retired Methodist minister, founded the group in 1977 in his Tupelo home as the National Federation for Decency, promoting family values and waging boycotts to combat what it deemed pornography and violence on television and in magazines.","[(0, 'Wildmon'), (1, ','), (2, 'a'), (3, 'retired'), (4, 'Methodist'), (5, 'minister'), (6, ','), (7, 'founded'), (8, 'the'), (9, 'group'), (10, 'in'), (11, '1977'), (12, 'in'), (13, 'his'), (14, 'Tupelo'), (15, 'home'), (16, 'as'), (17, 'the'), (18, 'National'), (19, 'Federation'), (20, 'for'), (21, 'Decency'), (22, ','), (23, 'promoting'), (24, 'family'), (25, 'values'), (26, 'and'), (27, 'waging'), (28, 'boycotts'), (29, 'to'), (30, 'combat'), (31, 'what'), (32, 'it'), (33, 'deemed'), (34, 'pornography'), (35, 'and'), (36, 'violence'), (37, 'on'), (38, 'television'), (39, 'and'), (40, 'in'), (41, 'magazines'), (42, '.')]",0,0,14,14,,,,,
