tac_doc_id,tac_sentence_id,sentence,tac_tokens,subj_start,subj_end,obj_start,obj_end,assessment,alt_subj_start,alt_subj_end,alt_obj_start,alt_obj_end
NYT_ENG_20071026.0056.LDC2009T13,61b3a0af8f58a4abf424,"In 1974, divorced and the mother of a 5-year-old, Forsberg moved to Boston and began studying arms control at MIT; she received her Ph.D. in 1980.","['In', '1974', ',', 'divorced', 'and', 'the', 'mother', 'of', 'a', '5-year-old', ',', 'Forsberg', 'moved', 'to', 'Boston', 'and', 'began', 'studying', 'arms', 'control', 'at', 'MIT', ';', 'she', 'received', 'her', 'Ph.D.', 'in', '1980', '.']",11,11,14,14,,,,,
eng-WL-107-174567-12931742,61b3a0af8f4161f8cbd0,"Here she is seen in her home town of McComb, Mississippi running errands with her baby girl, and by the sounds of it, she may be errand running on the solo side much more often in the coming days, weeks, months, whatever.","['Here', 'she', 'is', 'seen', 'in', 'her', 'home', 'town', 'of', 'McComb', ',', 'Mississippi', 'running', 'errands', 'with', 'her', 'baby', 'girl', ',', 'and', 'by', 'the', 'sounds', 'of', 'it', ',', 'she', 'may', 'be', 'errand', 'running', 'on', 'the', 'solo', 'side', 'much', 'more', 'often', 'in', 'the', 'coming', 'days', ',', 'weeks', ',', 'months', ',', 'whatever', '.']",1,1,9,9,,,,,
NYT_ENG_20070109.0332.LDC2009T13,61b3a0af8f508941006f,"Bolin was the first black woman to graduate from Yale Law School, the first to join the New York City Bar Association, and the first to work in the office of the New York City corporation counsel, the city's legal department.","['Bolin', 'was', 'the', 'first', 'black', 'woman', 'to', 'graduate', 'from', 'Yale', 'Law', 'School', ',', 'the', 'first', 'to', 'join', 'the', 'New', 'York', 'City', 'Bar', 'Association', ',', 'and', 'the', 'first', 'to', 'work', 'in', 'the', 'office', 'of', 'the', 'New', 'York', 'City', 'corporation', 'counsel', ',', 'the', 'city', ""'s"", 'legal', 'department', '.']",0,0,34,36,,,,,
LTW_ENG_20070119.0018.LDC2009T13,61b3a0af8f9cb44a209c,"He and his wife, Ann McGarry Buchwald, whom he had met in Paris, moved to Washington in 1963 with their three children, who were adopted from orphanages and child welfare agencies in Ireland, Spain and France.","['He', 'and', 'his', 'wife', ',', 'Ann', 'McGarry', 'Buchwald', ',', 'whom', 'he', 'had', 'met', 'in', 'Paris', ',', 'moved', 'to', 'Washington', 'in', '1963', 'with', 'their', 'three', 'children', ',', 'who', 'were', 'adopted', 'from', 'orphanages', 'and', 'child', 'welfare', 'agencies', 'in', 'Ireland', ',', 'Spain', 'and', 'France', '.']",10,10,14,14,,,,,
LTW_ENG_20090908.0018,61b3a0af8f2b3e009d37,"In Vienna, Austria, on Monday, International Atomic Energy Agency chief Mohamed ElBaradei lamented a ""stalemate"" in efforts to begin talks over Iran's nuclear program.","['In', 'Vienna', ',', 'Austria', ',', 'on', 'Monday', ',', 'International', 'Atomic', 'Energy', 'Agency', 'chief', 'Mohamed', 'ElBaradei', 'lamented', 'a', '``', 'stalemate', ""''"", 'in', 'efforts', 'to', 'begin', 'talks', 'over', 'Iran', ""'s"", 'nuclear', 'program', '.']",13,14,1,1,,,,,
NYT_ENG_20101118.0060,61b3a0af8f91df7272e1,"NY-SCHOOLS-CHIEF (New York) - Cathleen P. Black, Mayor Michael R. Bloomberg's choice to be the next chancellor of New York City's public-school system, has during more than 40 years in the media business broken numerous glass ceilings - and amassed a fortune - with quick and cold-blooded decision making, crystal-clear goal setting, and an all-surpassing attention to the bottom line.","['NY-SCHOOLS-CHIEF', '-LRB-', 'New', 'York', '-RRB-', '--', 'Cathleen', 'P.', 'Black', ',', 'Mayor', 'Michael', 'R.', 'Bloomberg', ""'s"", 'choice', 'to', 'be', 'the', 'next', 'chancellor', 'of', 'New', 'York', 'City', ""'s"", 'public-school', 'system', ',', 'has', 'during', 'more', 'than', '40', 'years', 'in', 'the', 'media', 'business', 'broken', 'numerous', 'glass', 'ceilings', '--', 'and', 'amassed', 'a', 'fortune', '--', 'with', 'quick', 'and', 'cold-blooded', 'decision', 'making', ',', 'crystal-clear', 'goal', 'setting', ',', 'and', 'an', 'all-surpassing', 'attention', 'to', 'the', 'bottom', 'line', '.']",6,8,22,24,,,,,
LTW_ENG_20070906.0089.LDC2009T13,61b3a0af8f30ffd5da71,"Rep Paul Gillmor, R-Ohio, a quiet, back-bench conservative in his 20th year in the House, was found dead Wednesday morning in his Arlington, Va townhouse, police and House Republican leaders said.","['Rep', 'Paul', 'Gillmor', ',', 'R-Ohio', ',', 'a', 'quiet', ',', 'back-bench', 'conservative', 'in', 'his', '20th', 'year', 'in', 'the', 'House', ',', 'was', 'found', 'dead', 'Wednesday', 'morning', 'in', 'his', 'Arlington', ',', 'Va', 'townhouse', ',', 'police', 'and', 'House', 'Republican', 'leaders', 'said', '.']",1,2,26,26,,,,,
NYT_ENG_20070420.0018.LDC2009T13,61b3a0af8f11ccbcc3d6,"Derounian is survived by his wife of 60 years, Emily Ann Kennard Derounian; two daughters, Ann Banks of Lexington, Ky., and Eleanor Derounian of Austin; and a granddaughter.","['Derounian', 'is', 'survived', 'by', 'his', 'wife', 'of', '60', 'years', ',', 'Emily', 'Ann', 'Kennard', 'Derounian', ';', 'two', 'daughters', ',', 'Ann', 'Banks', 'of', 'Lexington', ',', 'Ky.', ',', 'and', 'Eleanor', 'Derounian', 'of', 'Austin', ';', 'and', 'a', 'granddaughter', '.']",26,27,29,29,,,,,
NYT_ENG_20101223.0148,61b3a0af8f215e9532b7,Opponents of Cathleen P. Black's appointment as New York City schools chancellor tried to convince a judge Thursday that the state education commissioner misinterpreted the law when he approved her selection.,"['Opponents', 'of', 'Cathleen', 'P.', 'Black', ""'s"", 'appointment', 'as', 'New', 'York', 'City', 'schools', 'chancellor', 'tried', 'to', 'convince', 'a', 'judge', 'Thursday', 'that', 'the', 'state', 'education', 'commissioner', 'misinterpreted', 'the', 'law', 'when', 'he', 'approved', 'her', 'selection', '.']",2,4,8,10,,,,,
NYT_ENG_20070305.0262.LDC2009T13,61b3a0af8f9abffce393,"William R Anderson, who commanded the nuclear-powered submarine Nautilus on its historic cruise beneath the North Pole in August 1958 and who later served three terms in Congress, died on Feb 25 near his home in Leesburg, Va.","['William', 'R', 'Anderson', ',', 'who', 'commanded', 'the', 'nuclear-powered', 'submarine', 'Nautilus', 'on', 'its', 'historic', 'cruise', 'beneath', 'the', 'North', 'Pole', 'in', 'August', '1958', 'and', 'who', 'later', 'served', 'three', 'terms', 'in', 'Congress', ',', 'died', 'on', 'Feb', '25', 'near', 'his', 'home', 'in', 'Leesburg', ',', 'Va', '.']",0,2,38,38,,,,,
NYT_ENG_20071124.0016.LDC2009T13,61b3a0af8f900577a430,"In 1967, McNair had played host to Humphrey on a visit to the state that included an address to the Legislature and a luncheon meeting that McNair set up in Greenville.","['In', '1967', ',', 'McNair', 'had', 'played', 'host', 'to', 'Humphrey', 'on', 'a', 'visit', 'to', 'the', 'state', 'that', 'included', 'an', 'address', 'to', 'the', 'Legislature', 'and', 'a', 'luncheon', 'meeting', 'that', 'McNair', 'set', 'up', 'in', 'Greenville', '.']",27,27,31,31,,,,,
eng-NG-31-142091-9998631,61b3abd9fa57e0632fda,"In 2000, Gloucester County, where Irene Morgan got on that bus six decades earlier, and where she lived in her final years, honored her on its 350th anniversary.","['In', '2000', ',', 'Gloucester', 'County', ',', 'where', 'Irene', 'Morgan', 'got', 'on', 'that', 'bus', 'six', 'decades', 'earlier', ',', 'and', 'where', 'she', 'lived', 'in', 'her', 'final', 'years', ',', 'honored', 'her', 'on', 'its', '350th', 'anniversary', '.']",7,8,3,4,,,,,
APW_ENG_20070516.0586.LDC2009T13,61b3a0af8f8d8b569158,"At her father's former Atlanta church, Ebenezer Baptist, she performed a series of one-actor skits that told stories including a girl's first ride on a desegregated bus and a college student's recollection of the 1963 desegregation of Birmingham, Alabama.","['At', 'her', 'father', ""'s"", 'former', 'Atlanta', 'church', ',', 'Ebenezer', 'Baptist', ',', 'she', 'performed', 'a', 'series', 'of', 'one-actor', 'skits', 'that', 'told', 'stories', 'including', 'a', 'girl', ""'s"", 'first', 'ride', 'on', 'a', 'desegregated', 'bus', 'and', 'a', 'college', 'student', ""'s"", 'recollection', 'of', 'the', '1963', 'desegregation', 'of', 'Birmingham', ',', 'Alabama', '.']",11,11,5,5,,,,,
APW_ENG_20070919.1312.LDC2009T13,61b3a0af8f7113a0937f,"Knoxville-based Regal Entertainment Group has hosted several screenings to benefit Variety, including a showing of ""Talladega Nights"" with Will Ferrell and ""The Dukes of Hazzard"" with Jessica Simpson, Seann William Scott and Knoxville native Johnny Knoxville.","['Knoxville-based', 'Regal', 'Entertainment', 'Group', 'has', 'hosted', 'several', 'screenings', 'to', 'benefit', 'Variety', ',', 'including', 'a', 'showing', 'of', '``', 'Talladega', 'Nights', ""''"", 'with', 'Will', 'Ferrell', 'and', '``', 'The', 'Dukes', 'of', 'Hazzard', ""''"", 'with', 'Jessica', 'Simpson', ',', 'Seann', 'William', 'Scott', 'and', 'Knoxville', 'native', 'Johnny', 'Knoxville', '.']",40,41,38,38,,,,,
eng-NG-31-142091-8682787,61b3a0af8f83b5a86098,"At her death, she was assistant clinical professor emeritus of psychiatry at Albert Einstein College of Medicine of Yeshiva University in the Bronx.","['At', 'her', 'death', ',', 'she', 'was', 'assistant', 'clinical', 'professor', 'emeritus', 'of', 'psychiatry', 'at', 'Albert', 'Einstein', 'College', 'of', 'Medicine', 'of', 'Yeshiva', 'University', 'in', 'the', 'Bronx', '.']",4,4,23,23,,,,,
LTW_ENG_20080402.0021.LDC2009T13,61b3a0af8f077f046123,"As part of a Navy family, she also lived in Long Beach, Calif., San Diego and Annapolis.","['As', 'part', 'of', 'a', 'Navy', 'family', ',', 'she', 'also', 'lived', 'in', 'Long', 'Beach', ',', 'Calif.', ',', 'San', 'Diego', 'and', 'Annapolis', '.']",7,7,19,19,,,,,
APW_ENG_19981209.0373.LDC2007T07,61b3a0af8f82349ae090,"But despite the current financial constraints, Chen said Cathay Pacific was determined to make Hong Kong Asia's ""aviation hub ,"" adding that the airline hasn't ruled out the possibility of expanding into Asia with an investment into the ailing Philippine Airlines.","['But', 'despite', 'the', 'current', 'financial', 'constraints', ',', 'Chen', 'said', 'Cathay', 'Pacific', 'was', 'determined', 'to', 'make', 'Hong', 'Kong', 'Asia', ""'s"", '``', 'aviation', 'hub', ',', ""''"", 'adding', 'that', 'the', 'airline', 'has', ""n't"", 'ruled', 'out', 'the', 'possibility', 'of', 'expanding', 'into', 'Asia', 'with', 'an', 'investment', 'into', 'the', 'ailing', 'Philippine', 'Airlines', '.']",7,7,15,17,,,,,
NYT_ENG_20071124.0016.LDC2009T13,61b3abd9fa6fec37d411,"He is survived by his wife of 63 years, Josephine Robinson McNair, of Columbia; a son, Robert E. Jr., of Columbia; three daughters, Robin Lee Howell and Corinne Godshall, of Myrtle Beach, S.C., and Claudia Crawford McNair, of Jamestown, S.C.; six grandchildren; and one great-grandchild.","['He', 'is', 'survived', 'by', 'his', 'wife', 'of', '63', 'years', ',', 'Josephine', 'Robinson', 'McNair', ',', 'of', 'Columbia', ';', 'a', 'son', ',', 'Robert', 'E.', 'Jr.', ',', 'of', 'Columbia', ';', 'three', 'daughters', ',', 'Robin', 'Lee', 'Howell', 'and', 'Corinne', 'Godshall', ',', 'of', 'Myrtle', 'Beach', ',', 'S.C.', ',', 'and', 'Claudia', 'Crawford', 'McNair', ',', 'of', 'Jamestown', ',', 'S.C.', ';', 'six', 'grandchildren', ';', 'and', 'one', 'great-grandchild', '.']",20,22,25,25,,,,,
eng-WL-11-174611-12969239,61b3a65fb90d9bb9d033,"Wildmon, a retired Methodist minister, founded the group in 1977 in his Tupelo home as the National Federation for Decency, promoting family values and waging boycotts to combat what it deemed pornography and violence on television and in magazines.","['Wildmon', ',', 'a', 'retired', 'Methodist', 'minister', ',', 'founded', 'the', 'group', 'in', '1977', 'in', 'his', 'Tupelo', 'home', 'as', 'the', 'National', 'Federation', 'for', 'Decency', ',', 'promoting', 'family', 'values', 'and', 'waging', 'boycotts', 'to', 'combat', 'what', 'it', 'deemed', 'pornography', 'and', 'violence', 'on', 'television', 'and', 'in', 'magazines', '.']",0,0,14,14,,,,,
LTW_ENG_20071113.0131.LDC2009T13,61b3a0af8f8486a22508,"In the early 1930s, he became involved in a ""Don't Shop Where You Can't Work"" campaign that targeted merchants in Los Angeles who refused to hire blacks.","['In', 'the', 'early', '1930s', ',', 'he', 'became', 'involved', 'in', 'a', '``', 'Do', ""n't"", 'Shop', 'Where', 'You', 'Ca', ""n't"", 'Work', ""''"", 'campaign', 'that', 'targeted', 'merchants', 'in', 'Los', 'Angeles', 'who', 'refused', 'to', 'hire', 'blacks', '.']",5,5,25,26,,,,,
AFP_ENG_20090601.0319,61b3a0af8f8b43ffa751,LONDON: Allies of singing sensation Susan Boyle rallied round as it emerged she was rushed to a London clinic with exhaustion and possible mental health problems soon after she was beaten into second place in national talent contest.,"['LONDON', ':', 'Allies', 'of', 'singing', 'sensation', 'Susan', 'Boyle', 'rallied', 'round', 'as', 'it', 'emerged', 'she', 'was', 'rushed', 'to', 'a', 'London', 'clinic', 'with', 'exhaustion', 'and', 'possible', 'mental', 'health', 'problems', 'soon', 'after', 'she', 'was', 'beaten', 'into', 'second', 'place', 'in', 'national', 'talent', 'contest', '.']",13,13,0,0,,,,,
XIN_ENG_20070208.0259.LDC2009T13,61b3a0af8fd6240808e5,He lives in the northern German city of Bremen.,"['He', 'lives', 'in', 'the', 'northern', 'German', 'city', 'of', 'Bremen', '.']",0,0,8,8,,,,,
APW_ENG_20071224.0560.LDC2009T13,61b3a0af8fe4526820a8,"His death was confirmed by Hazel McCallion, mayor of Mississauga, Ontario, the Toronto suburb where Peterson lived.","['His', 'death', 'was', 'confirmed', 'by', 'Hazel', 'McCallion', ',', 'mayor', 'of', 'Mississauga', ',', 'Ontario', ',', 'the', 'Toronto', 'suburb', 'where', 'Peterson', 'lived', '.']",18,18,10,10,,,,,
APW_ENG_20070710.1052.LDC2009T13,61b3a0af8f7a0574b852,"Lancaster County Coroner Dr. G. Gary Kirchner said the summary citations, filed by a Humane Society officer last week, were unwarranted.","['Lancaster', 'County', 'Coroner', 'Dr.', 'G.', 'Gary', 'Kirchner', 'said', 'the', 'summary', 'citations', ',', 'filed', 'by', 'a', 'Humane', 'Society', 'officer', 'last', 'week', ',', 'were', 'unwarranted', '.']",4,6,0,1,,,,,
NYT_ENG_20081220.0024.LDC2009T13,61b3a0af8f9d57680f2f,A day later Lindsey Hord drove to the Cooks' modern subdivision from his state office in Okeechobee.,"['A', 'day', 'later', 'Lindsey', 'Hord', 'drove', 'to', 'the', 'Cooks', ""'"", 'modern', 'subdivision', 'from', 'his', 'state', 'office', 'in', 'Okeechobee', '.']",13,13,17,17,,,,,
APW_ENG_20100127.0483,61b3a0af8f36f8d773fc,"The Sun tabloid says Boyle, who shot to stardom on the back of her appearance on ""Britain's Got Talent"" last spring, ran into the man as she returned to her home in the small Scottish village of Blackburn.","['The', 'Sun', 'tabloid', 'says', 'Boyle', ',', 'who', 'shot', 'to', 'stardom', 'on', 'the', 'back', 'of', 'her', 'appearance', 'on', '``', 'Britain', ""'s"", 'Got', 'Talent', ""''"", 'last', 'spring', ',', 'ran', 'into', 'the', 'man', 'as', 'she', 'returned', 'to', 'her', 'home', 'in', 'the', 'small', 'Scottish', 'village', 'of', 'Blackburn', '.']",4,4,42,42,,,,,
NYT_ENG_20101112.0021,61b3a0af8f356665eed6,NY-SCHOOLS-CHIEF (New York) - Developments in the appointment of publishing executive Cathleen P. Black as the next New York City schools chancellor.,"['NY-SCHOOLS-CHIEF', '-LRB-', 'New', 'York', '-RRB-', '--', 'Developments', 'in', 'the', 'appointment', 'of', 'publishing', 'executive', 'Cathleen', 'P.', 'Black', 'as', 'the', 'next', 'New', 'York', 'City', 'schools', 'chancellor', '.']",13,15,19,21,,,,,
LTW_ENG_20071101.0142.LDC2009T13,61b3a0af8fade3639252,"In 1967, two years after graduating from Barnard College, she married a Swedish social worker and moved to Stockholm, where she found work as a typist for the Stockholm International Peace Research Institute.","['In', '1967', ',', 'two', 'years', 'after', 'graduating', 'from', 'Barnard', 'College', ',', 'she', 'married', 'a', 'Swedish', 'social', 'worker', 'and', 'moved', 'to', 'Stockholm', ',', 'where', 'she', 'found', 'work', 'as', 'a', 'typist', 'for', 'the', 'Stockholm', 'International', 'Peace', 'Research', 'Institute', '.']",11,11,20,20,,,,,
LTW_ENG_20070822.0147.LDC2009T13,61b3a0af8fe78a719689,Both Manhattan District Attorney Robert Morgenthau and state Attorney General Andrew Cuomo launched probes Tuesday into the blaze Saturday that turned the abandoned Deutsche Bank building into a fiery trap.,"['Both', 'Manhattan', 'District', 'Attorney', 'Robert', 'Morgenthau', 'and', 'state', 'Attorney', 'General', 'Andrew', 'Cuomo', 'launched', 'probes', 'Tuesday', 'into', 'the', 'blaze', 'Saturday', 'that', 'turned', 'the', 'abandoned', 'Deutsche', 'Bank', 'building', 'into', 'a', 'fiery', 'trap', '.']",4,5,1,1,,,,,
LTW_ENG_20080211.0057.LDC2009T13,61b3a0af8fc932b985e9,"After a stint in the Air Force, Scheider began acting at Franklin and Marshall College in Lancaster, Pa., and by the time he graduated, he knew he wanted to be an actor.","['After', 'a', 'stint', 'in', 'the', 'Air', 'Force', ',', 'Scheider', 'began', 'acting', 'at', 'Franklin', 'and', 'Marshall', 'College', 'in', 'Lancaster', ',', 'Pa.', ',', 'and', 'by', 'the', 'time', 'he', 'graduated', ',', 'he', 'knew', 'he', 'wanted', 'to', 'be', 'an', 'actor', '.']",25,25,17,17,,,,,
eng-NG-31-126958-9171868,61b3a0af8f2c059d994e,"Jefferson Joseph DeBlanc Sr. was born in Lockport, La., on Feb. 15 , 1921, and grew up in St. Martinville.","['Jefferson', 'Joseph', 'DeBlanc', 'Sr.', 'was', 'born', 'in', 'Lockport', ',', 'La.', ',', 'on', 'Feb.', '15', ',', '1921', ',', 'and', 'grew', 'up', 'in', 'St.', 'Martinville', '.']",0,3,7,7,,,,,
eng-NG-31-142091-9997809,61b3a0af8f5c56b0a716,"2) Michael Sandy, in Bellport, Long Island, in 2003.","['2', '-RRB-', 'Michael', 'Sandy', ',', 'in', 'Bellport', ',', 'Long', 'Island', ',', 'in', '2003', '.']",2,3,8,9,,,,,
eng-WL-11-174595-12968276,61b3a0af8f23c15e23b1,"And speaking of Paul Sculfor, he was snapped making the walk of shame as he exited Jennifer Aniston's Malibu, CA home yesterday morning/afternoon :","['And', 'speaking', 'of', 'Paul', 'Sculfor', ',', 'he', 'was', 'snapped', 'making', 'the', 'walk', 'of', 'shame', 'as', 'he', 'exited', 'Jennifer', 'Aniston', ""'s"", 'Malibu', ',', 'CA', 'home', 'yesterday', 'morning/afternoon', ':']",3,4,20,20,,,,,
eng-NG-31-142154-10030033,61b3a0af8fcc393182bd,"In a major breakthrough, the sleuths of the Special Task Force arrested six Lashkar-e-Tayyeba (LeT) from Lucknow and Rampur on Sunday morning.","['In', 'a', 'major', 'breakthrough', ',', 'the', 'sleuths', 'of', 'the', 'Special', 'Task', 'Force', 'arrested', 'six', 'Lashkar-e-Tayyeba', '-LRB-', 'LeT', '-RRB-', 'from', 'Lucknow', 'and', 'Rampur', 'on', 'Sunday', 'morning', '.']",14,14,19,19,,,,,
NYT_ENG_20070116.0019.LDC2009T13,61b3a0af8fe23a212fb6,"Over the next four decades, Washburn reshaped the museum, shepherding it from its Back Bay location to a new site - under a new name, the Museum of Science - along the Charles River on the border of Boston and Cambridge, Mass., and increased the size of its staff substantially.","['Over', 'the', 'next', 'four', 'decades', ',', 'Washburn', 'reshaped', 'the', 'museum', ',', 'shepherding', 'it', 'from', 'its', 'Back', 'Bay', 'location', 'to', 'a', 'new', 'site', '--', 'under', 'a', 'new', 'name', ',', 'the', 'Museum', 'of', 'Science', '--', 'along', 'the', 'Charles', 'River', 'on', 'the', 'border', 'of', 'Boston', 'and', 'Cambridge', ',', 'Mass.', ',', 'and', 'increased', 'the', 'size', 'of', 'its', 'staff', 'substantially', '.']",6,6,35,36,,,,,
NYT_ENG_20070420.0018.LDC2009T13,61b3a0af8f348eb7ec24,"STEVEN B DEROUNIAN , 89, JUDGE AND NASSAU EX-CONGRESSMAN After moving to Austin, he was of counsel to a firm there and taught law at the University of Texas at Austin for several more years.","['STEVEN', 'B', 'DEROUNIAN', ',', '89', ',', 'JUDGE', 'AND', 'NASSAU', 'EX-CONGRESSMAN', 'After', 'moving', 'to', 'Austin', ',', 'he', 'was', 'of', 'counsel', 'to', 'a', 'firm', 'there', 'and', 'taught', 'law', 'at', 'the', 'University', 'of', 'Texas', 'at', 'Austin', 'for', 'several', 'more', 'years', '.']",0,2,13,13,,,,,
APW_ENG_20071220.1403.LDC2009T13,61b3a0af8fc478036e51,"A judge in New York City said Remy Ma, whose real name is Remy Smith, said Thursday that the hip-hopper could not leave the United States for a five-country European concert tour.","['A', 'judge', 'in', 'New', 'York', 'City', 'said', 'Remy', 'Ma', ',', 'whose', 'real', 'name', 'is', 'Remy', 'Smith', ',', 'said', 'Thursday', 'that', 'the', 'hip-hopper', 'could', 'not', 'leave', 'the', 'United', 'States', 'for', 'a', 'five-country', 'European', 'concert', 'tour', '.']",14,15,3,5,,,,,
